index,position,stimulusId,isOddball,targetMs,onsetMs,deltaMs,ioiMs
155,156,base_01,0,25833.333,25835.300,1.967,166.600
156,157,base_04,0,26000.000,26001.900,1.900,166.600
157,158,base_02,0,26166.667,26168.600,1.933,166.700
158,159,base_04,0,26333.333,26335.200,1.867,166.600
159,160,oddball_01,1,26500.000,26501.900,1.900,166.700
160,161,base_01,0,26666.667,26668.600,1.933,166.700
161,162,base_02,0,26833.333,26835.100,1.767,166.500
162,163,base_04,0,27000.000,27001.900,1.900,166.800
163,164,base_02,0,27166.667,27168.600,1.933,166.700
164,165,oddball_01,1,27333.333,27335.100,1.767,166.500
165,166,base_02,0,27500.000,27501.800,1.800,166.700
166,167,base_01,0,27666.667,27668.400,1.733,166.600
167,168,base_02,0,27833.333,27835.100,1.767,166.700
168,169,base_01,0,28000.000,28001.800,1.800,166.700
169,170,oddball_01,1,28166.667,28168.600,1.933,166.800
170,171,base_01,0,28333.333,28335.200,1.867,166.600
171,172,base_02,0,28500.000,28501.900,1.900,166.700
172,173,base_01,0,28666.667,28668.400,1.733,166.500
173,174,base_02,0,28833.333,28835.200,1.867,166.800
174,175,oddball_01,1,29000.000,29001.800,1.800,166.600
175,176,base_04,0,29166.667,29168.500,1.833,166.700
176,177,base_03,0,29333.333,29335.100,1.767,166.600
177,178,base_01,0,29500.000,29501.700,1.700,166.600
178,179,base_03,0,29666.667,29668.400,1.733,166.700
179,180,oddball_01,1,29833.333,29835.000,1.667,166.600
180,181,base_02,0,30000.000,30001.800,1.800,166.800
181,182,base_03,0,30166.667,30168.300,1.633,166.500
182,183,base_02,0,30333.333,30335.000,1.667,166.700
183,184,base_04,0,30500.000,30501.900,1.900,166.900
184,185,oddball_01,1,30666.667,30668.500,1.833,166.600
185,186,base_01,0,30833.333,30834.900,1.567,166.400
186,187,base_04,0,31000.000,31001.800,1.800,166.900
187,188,base_03,0,31166.667,31168.400,1.733,166.600
188,189,base_02,0,31333.333,31335.000,1.667,166.600
189,190,oddball_01,1,31500.000,31501.600,1.600,166.600
190,191,base_01,0,31666.667,31668.300,1.633,166.700
191,192,base_02,0,31833.333,31835.000,1.667,166.700
192,193,base_04,0,32000.000,32001.700,1.700,166.700
193,194,base_01,0,32166.667,32168.300,1.633,166.600
194,195,oddball_01,1,32333.333,32335.000,1.667,166.700
195,196,base_04,0,32500.000,32501.700,1.700,166.700
196,197,base_02,0,32666.667,32668.300,1.633,166.600
